Frequency,Magnitude
1.000000000000000056e-01,3.937438305554718924e-04
1.006938631476027579e-01,3.992268301517568822e-04
1.013925407558815134e-01,4.047861815237887000e-04
1.020960662306046735e-01,4.104229478713980386e-04
1.028044732093309210e-01,4.161382071893934961e-04
1.035177955630176283e-01,4.219330524892012319e-04
1.042360673976401725e-01,4.278085920031430211e-04
1.049593230558227425e-01,4.337659493906396361e-04
1.056875971184804280e-01,4.398062639617655823e-04
1.064209244064724114e-01,4.459306908815146306e-04
1.071593399822671072e-01,4.521404014145599757e-04
1.079028791516184194e-01,4.584365831295097397e-04
1.086515774652538069e-01,4.648204401166575401e-04
1.094054707205742716e-01,4.712931932520133659e-04
1.101645949633656418e-01,4.778560804073296933e-04
1.109289864895222771e-01,4.845103566794076427e-04
1.116986818467823189e-01,4.912572946579683159e-04
1.124737178364751677e-01,4.980981846356628655e-04
1.132541315152811728e-01,5.050343348894316322e-04
1.140399601970032845e-01,5.120670718962879158e-04
1.148312414543511129e-01,5.191977406165937652e-04
1.156280131207376022e-01,5.264277047271882738e-04
1.164303132920876532e-01,5.337583469027211295e-04
1.172381803286598884e-01,5.411910690661250007e-04
1.180516528568805179e-01,5.487272926622215443e-04
1.188707697711903349e-01,5.563684589216786637e-04
1.196955702359043389e-01,5.641160291558170066e-04
1.205260936870842653e-01,5.719714850109090419e-04
1.213623798344240778e-01,5.799363287745414172e-04
1.222044686631488380e-01,5.880120836453273797e-04
1.230524004359261625e-01,5.962002940296095427e-04
1.239062156947916271e-01,6.045025258458695946e-04
1.247659552630869806e-01,6.129203668117714750e-04
1.256316602474120414e-01,6.214554267524101351e-04
1.265033720395903616e-01,6.301093379046942503e-04
1.273811323186478384e-01,6.388837552410042047e-04
1.282649830528060642e-01,6.477803567735551790e-04
1.291549665014883885e-01,6.568008438799650657e-04
1.300511252173408849e-01,6.659469416191681054e-04
1.309535020482667234e-01,6.752203990878181614e-04
1.318621401394748371e-01,6.846229897188249808e-04
1.327770829355429671e-01,6.941565116473775955e-04
1.336983741824946670e-01,7.038227880461001614e-04
1.346260579298909910e-01,7.136236674659818258e-04
1.355601785329368647e-01,7.235610242062208560e-04
1.365007806546013891e-01,7.336367586570597754e-04
1.374479092677537428e-01,7.438527976734618215e-04
1.384016096573131571e-01,7.542110949391317171e-04
1.393619274224142390e-01,7.647136313305245153e-04
1.403289084785872831e-01,7.753624153194095406e-04
1.413025990599533765e-01,7.861594833387783223e-04
1.422830457214352695e-01,7.971069001699523666e-04
1.432702953409830948e-01,8.082067593470315496e-04
1.442643951218157694e-01,8.194611835555415955e-04
1.452653925946780777e-01,8.308723250407092694e-04
1.462733356201129931e-01,8.424423660041479916e-04
1.472882723907502633e-01,8.541735190333134622e-04
1.483102514336104294e-01,8.660680275347967111e-04
1.493393216124252187e-01,8.781281661367460085e-04
1.503755321299738157e-01,8.903562411433368776e-04
