Frequency,Phase
1.000000000000000056e-01,-3.979085934874220798e-01
1.006938631476027579e-01,-4.006698323581918686e-01
1.013925407558815134e-01,-4.034502366898666259e-01
1.020960662306046735e-01,-4.062499395953632630e-01
1.028044732093309210e-01,-4.090690751139630654e-01
1.035177955630176283e-01,-4.119077782177974489e-01
1.042360673976401725e-01,-4.147661848183782918e-01
1.049593230558227425e-01,-4.176444317731766720e-01
1.056875971184804280e-01,-4.205426568922482899e-01
1.064209244064724114e-01,-4.234609989449039658e-01
1.071593399822671072e-01,-4.263995976664309295e-01
1.079028791516184194e-01,-4.293585937648597417e-01
1.086515774652538069e-01,-4.323381289277801742e-01
1.094054707205742716e-01,-4.353383458292066632e-01
1.101645949633656418e-01,-4.383593881364911682e-01
1.109289864895222771e-01,-4.414014005172867128e-01
1.116986818467823189e-01,-4.444645286465608858e-01
1.124737178364751677e-01,-4.475489192136577477e-01
1.132541315152811728e-01,-4.506547199294130279e-01
1.140399601970032845e-01,-4.537820795333177282e-01
1.148312414543511129e-01,-4.569311478007342386e-01
1.156280131207376022e-01,-4.601020755501644688e-01
1.164303132920876532e-01,-4.632950146505693811e-01
1.172381803286598884e-01,-4.665101180287412053e-01
1.180516528568805179e-01,-4.697475396767282763e-01
1.188707697711903349e-01,-4.730074346593148293e-01
1.196955702359043389e-01,-4.762899591215521422e-01
1.205260936870842653e-01,-4.795952702963448555e-01
1.213623798344240778e-01,-4.829235265120921383e-01
1.222044686631488380e-01,-4.862748872003843092e-01
1.230524004359261625e-01,-4.896495129037520266e-01
1.239062156947916271e-01,-4.930475652834765965e-01
1.247659552630869806e-01,-4.964692071274499630e-01
1.256316602474120414e-01,-4.999146023580962606e-01
1.265033720395903616e-01,-5.033839160403495994e-01
1.273811323186478384e-01,-5.068773143896863065e-01
1.282649830528060642e-01,-5.103949647802210610e-01
1.291549665014883885e-01,-5.139370357528539879e-01
1.300511252173408849e-01,-5.175036970234843103e-01
1.309535020482667234e-01,-5.210951194912769591e-01
1.318621401394748371e-01,-5.247114752469931309e-01
1.327770829355429671e-01,-5.283529375813798001e-01
1.336983741824946670e-01,-5.320196809936189597e-01
1.346260579298909910e-01,-5.357118811998395902e-01
1.355601785329368647e-01,-5.394297151416916902e-01
1.365007806546013891e-01,-5.431733609949793706e-01
1.374479092677537428e-01,-5.469429981783620054e-01
1.384016096573131571e-01,-5.507388073621121150e-01
1.393619274224142390e-01,-5.545609704769427495e-01
1.403289084785872831e-01,-5.584096707228952683e-01
1.413025990599533765e-01,-5.622850925782939546e-01
1.422830457214352695e-01,-5.661874218087642463e-01
1.432702953409830948e-01,-5.701168454763169136e-01
1.442643951218157694e-01,-5.740735519485002936e-01
1.452653925946780777e-01,-5.780577309076176951e-01
1.462733356201129931e-01,-5.820695733600108612e-01
1.472882723907502633e-01,-5.861092716454143758e-01
1.483102514336104294e-01,-5.901770194463765717e-01
1.493393216124252187e-01,-5.942730117977487181e-01
1.503755321299738157e-01,-5.983974450962453728e-01
1.514189325304352018e-01,-6.025505171100731250e-01
1.524695727017573721e-01,-6.067324269886321675e-01
1.535275028780422601e-01,-6.109433752722865929e-01
1.545927736419477616e-01,-6.151835639022065205e-01
1.556654359271061605e-01,-6.194531962302860517e-01
1.567455410205594868e-01,-6.237524770291290599e-01
1.578331405652117214e-01,-6.280816125021129182e-01
1.589282865622977936e-01,-6.324408102935227260e-01
1.600310313738700918e-01,-6.368302794987623638e-01
1.611414277253019334e-01,-6.412502306746412639e-01
1.622595287078087423e-01,-6.457008758497357892e-01
1.633853877809861299e-01,-6.501824285348266619e-01
1.645190587753662392e-01,-6.546951037334158841e-01
1.656605958949914359e-01,-6.592391179523184874e-01
1.668100537200058742e-01,-6.638146892123361065e-01
1.679674872092653537e-01,-6.684220370590070459e-01
1.691329517029648011e-01,-6.730613825734368394e-01
1.703065029252844309e-01,-6.777329483832084112e-01
1.714881969870540035e-01,-6.824369586733771698e-01
