t	y(t)
-4.000000	0.000000
-3.985986	0.000000
-3.971972	0.000000
-3.957958	0.000000
-3.943944	0.000000
-3.929930	0.000000
-3.915916	0.000000
-3.901902	0.000000
-3.887888	0.000000
-3.873874	0.000000
-3.859860	0.000000
-3.845846	0.000000
-3.831832	0.000000
-3.817818	0.000000
-3.803804	0.000000
-3.789790	0.000000
-3.775776	0.000000
-3.761762	0.000000
-3.747748	0.000000
-3.733734	0.000000
-3.719720	0.000000
-3.705706	0.000000
-3.691692	0.000000
-3.677678	0.000000
-3.663664	0.000000
-3.649650	0.000000
-3.635636	0.000000
-3.621622	0.000000
-3.607608	0.000000
-3.593594	0.000000
-3.579580	0.000000
-3.565566	0.000000
-3.551552	0.000000
-3.537538	0.000000
-3.523524	0.000000
-3.509510	0.000000
-3.495495	0.000000
-3.481481	0.000000
-3.467467	0.000000
-3.453453	0.000000
-3.439439	0.000000
-3.425425	0.000000
-3.411411	0.000000
-3.397397	0.000000
-3.383383	0.000000
-3.369369	0.000000
-3.355355	0.000000
-3.341341	0.000000
-3.327327	0.000000
-3.313313	0.000000
-3.299299	0.000000
-3.285285	0.000000
-3.271271	0.000000
-3.257257	0.000000
-3.243243	0.000000
-3.229229	0.000000
-3.215215	0.000000
-3.201201	0.000000
-3.187187	0.000000
-3.173173	0.000000
-3.159159	0.000000
-3.145145	0.000000
-3.131131	0.000000
-3.117117	0.000000
-3.103103	0.000000
-3.089089	0.000000
-3.075075	0.000000
-3.061061	0.000000
-3.047047	0.000000
-3.033033	0.000000
-3.019019	0.000000
-3.005005	0.000000
-2.990991	0.008888
-2.976977	0.022246
-2.962963	0.035054
-2.948949	0.047334
-2.934935	0.059109
-2.920921	0.070399
-2.906907	0.081224
-2.892893	0.091603
-2.878879	0.101555
-2.864865	0.111098
-2.850851	0.120247
-2.836837	0.129020
-2.822823	0.137432
-2.808809	0.145497
-2.794795	0.153231
-2.780781	0.160646
-2.766767	0.167755
-2.752753	0.174572
-2.738739	0.181108
-2.724725	0.187376
-2.710711	0.193385
-2.696697	0.199147
-2.682683	0.204671
-2.668669	0.209968
-2.654655	0.215047
-2.640641	0.219917
-2.626627	0.224586
-2.612613	0.229064
-2.598599	0.233356
-2.584585	0.237473
-2.570571	0.241419
-2.556557	0.245203
-2.542543	0.248832
-2.528529	0.252311
-2.514515	0.255646
-2.500501	0.258845
-2.486486	0.261912
-2.472472	0.264852
-2.458458	0.267671
-2.444444	0.270375
-2.430430	0.272967
-2.416416	0.275452
-2.402402	0.277835
-2.388388	0.280120
-2.374374	0.282311
-2.360360	0.284411
-2.346346	0.286426
-2.332332	0.288357
-2.318318	0.290209
-2.304304	0.291984
-2.290290	0.293686
-2.276276	0.295319
-2.262262	0.296884
-2.248248	0.298384
-2.234234	0.299823
-2.220220	0.301203
-2.206206	0.302526
-2.192192	0.303794
-2.178178	0.305010
-2.164164	0.306176
-2.150150	0.307294
-2.136136	0.308366
-2.122122	0.309394
-2.108108	0.310380
-2.094094	0.311325
-2.080080	0.312231
-2.066066	0.313100
-2.052052	0.313933
-2.038038	0.314732
-2.024024	0.315497
-2.010010	0.316232
-1.995996	0.316936
-1.981982	0.317611
-1.967968	0.318258
-1.953954	0.318879
-1.939940	0.319474
-1.925926	0.320045
-1.911912	0.320592
-1.897898	0.321116
-1.883884	0.321619
-1.869870	0.322101
-1.855856	0.322564
-1.841842	0.323007
-1.827828	0.323432
-1.813814	0.323840
-1.799800	0.324231
-1.785786	0.324606
-1.771772	0.324965
-1.757758	0.325310
-1.743744	0.325640
-1.729730	0.325957
-1.715716	0.326260
-1.701702	0.326551
-1.687688	0.326831
-1.673674	0.327098
-1.659660	0.327355
-1.645646	0.327601
-1.631632	0.327837
-1.617618	0.328064
-1.603604	0.328280
-1.589590	0.328489
-1.575576	0.328688
-1.561562	0.328879
-1.547548	0.329063
-1.533534	0.329238
-1.519520	0.329407
-1.505506	0.329569
-1.491491	0.329724
-1.477477	0.329872
-1.463463	0.330015
-1.449449	0.330151
-1.435435	0.330282
-1.421421	0.330408
-1.407407	0.330528
-1.393393	0.330644
-1.379379	0.330755
-1.365365	0.330861
-1.351351	0.330963
-1.337337	0.331060
-1.323323	0.331154
-1.309309	0.331244
-1.295295	0.331330
-1.281281	0.331412
-1.267267	0.331491
-1.253253	0.331567
-1.239239	0.331640
-1.225225	0.331709
-1.211211	0.331776
-1.197197	0.331840
-1.183183	0.331902
-1.169169	0.331961
-1.155155	0.332017
-1.141141	0.332071
-1.127127	0.332123
-1.113113	0.332173
-1.099099	0.332221
-1.085085	0.332267
-1.071071	0.332311
-1.057057	0.332353
-1.043043	0.332393
-1.029029	0.332432
-1.015015	0.332469
-1.001001	0.332505
-0.986987	0.332539
-0.972973	0.332571
-0.958959	0.332603
-0.944945	0.332633
-0.930931	0.332662
-0.916917	0.332689
-0.902903	0.332716
-0.888889	0.332741
-0.874875	0.332766
-0.860861	0.332789
-0.846847	0.332811
-0.832833	0.332833
-0.818819	0.332854
-0.804805	0.332873
-0.790791	0.332892
-0.776777	0.332910
-0.762763	0.332928
-0.748749	0.332945
-0.734735	0.332961
-0.720721	0.332976
-0.706707	0.332991
-0.692693	0.333005
-0.678679	0.333018
-0.664665	0.333031
-0.650651	0.333044
-0.636637	0.333056
-0.622623	0.333067
-0.608609	0.333078
-0.594595	0.333088
-0.580581	0.333099
-0.566567	0.333108
-0.552553	0.333117
-0.538539	0.333126
-0.524525	0.333135
-0.510511	0.333143
-0.496496	0.333151
-0.482482	0.333158
-0.468468	0.333166
-0.454454	0.333173
-0.440440	0.333179
-0.426426	0.333185
-0.412412	0.333192
-0.398398	0.333197
-0.384384	0.333203
-0.370370	0.333208
-0.356356	0.333214
-0.342342	0.333218
-0.328328	0.333223
-0.314314	0.333228
-0.300300	0.333232
-0.286286	0.333236
-0.272272	0.333240
-0.258258	0.333244
-0.244244	0.333248
-0.230230	0.333251
-0.216216	0.333255
-0.202202	0.333258
-0.188188	0.333261
-0.174174	0.333264
-0.160160	0.333267
-0.146146	0.333270
-0.132132	0.333272
-0.118118	0.333275
-0.104104	0.333277
-0.090090	0.333279
-0.076076	0.333282
-0.062062	0.333284
-0.048048	0.333286
-0.034034	0.333288
-0.020020	0.333290
-0.006006	0.333291
0.008008	0.333293
0.022022	0.333295
0.036036	0.333296
0.050050	0.333298
0.064064	0.333299
0.078078	0.333301
0.092092	0.333302
0.106106	0.333303
0.120120	0.333305
0.134134	0.333306
0.148148	0.333307
0.162162	0.333308
0.176176	0.333309
0.190190	0.333310
0.204204	0.333311
0.218218	0.333312
0.232232	0.333313
0.246246	0.333314
0.260260	0.333314
0.274274	0.333315
0.288288	0.333316
0.302302	0.333317
0.316316	0.333317
0.330330	0.333318
0.344344	0.333319
0.358358	0.333319
0.372372	0.333320
0.386386	0.333320
0.400400	0.333321
0.414414	0.333321
0.428428	0.333322
0.442442	0.333322
0.456456	0.333323
0.470470	0.333323
0.484484	0.333324
0.498498	0.333324
0.512513	0.333324
0.526527	0.333325
0.540541	0.333325
0.554555	0.333326
0.568569	0.333326
0.582583	0.333326
0.596597	0.333326
0.610611	0.333327
0.624625	0.333327
0.638639	0.333327
0.652653	0.333328
0.666667	0.333328
0.680681	0.333328
0.694695	0.333328
0.708709	0.333328
0.722723	0.333329
0.736737	0.333329
